IBGE;NU_IDENTIFICADOR;q55_3;q55_9;q55_10;q55_11;q55_12;q55_13;q55_14;IBGE7;UF;Regiao;Município;areaKm2;Pop_total_2022;Porte_pop2022;Q_incompleto;q7;DataCenso;DataCenso_2023;d55_2_Faixas_etarias;d55_9;d55_11;d55_9bin1;d55_9bin2;d55_9bin3;d55_10bin1;d55_10bin2;d55_10bin3;d55_10bin4;d55_10bin5;d55_11bin1;d55_11bin2;d55_11bin3;d55_11bin4;d55_9bin1_sum;d55_9bin2_sum;d55_9bin3_sum;d55_10bin1_sum;d55_10bin2_sum;d55_10bin3_sum;d55_10bin4_sum;d55_10bin5_sum;d55_11bin1_sum;d55_11bin2_sum;d55_11bin3_sum;d55_11bin4_sum;nu_trabalhadores
330455;3,30455E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/10/2017;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/11/2018;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Coordenador(a);De 21 a 30 horas semanais;01/01/2021;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;11/05/2023;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;06/02/2006;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;24/05/2022;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Psicóloga(o);Terceirizada(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;08/11/2021;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;20/10/2021;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Mestrado;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/04/2006;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Psicóloga(o);Terceirizada(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;05/09/2012;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;04/10/2016;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Psicóloga(o);Terceirizada(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;19/09/2022;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Psicóloga(o);Terceirizada(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;10/08/2022;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/06/2013;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;24/10/2022;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Psicóloga(o);Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 31 a 40 horas semanais;17/08/2022;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/03/2022;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330455;3,30455E+12;Masculino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/03/2021;3304557;Rio de Janeiro;Região Sudeste;Rio de Janeiro;1200,177;6211223;Metrópole;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;22;;12;;;10;15;;;7;22
330490;3,3049E+12;Feminino;Superior Completo;Psicóloga(o);Outro vínculo não permanente;Técnico(a) de nível superior;De 11 a 20 horas semanais;10/01/2014;3304904;Rio de Janeiro;Região Sudeste;São Gonçalo;248,319;896744;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;3;5;;3;;;2;;;;8;8
330490;3,3049E+12;Feminino;Superior Completo;Assistente Social;Outro vínculo não permanente;Técnico(a) de nível superior;De 21 a 30 horas semanais;01/07/2022;3304904;Rio de Janeiro;Região Sudeste;São Gonçalo;248,319;896744;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;3;5;;3;;;2;;;;8;8
330490;3,3049E+12;Feminino;Superior Completo;Assistente Social;Outro vínculo não permanente;Técnico(a) de nível superior;De 31 a 40 horas semanais;02/05/2023;3304904;Rio de Janeiro;Região Sudeste;São Gonçalo;248,319;896744;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;3;5;;3;;;2;;;;8;8
330490;3,3049E+12;Feminino;Superior Completo;Assistente Social;Outro vínculo não permanente;Coordenador(a);Mais de 44 horas semanais;11/01/2021;3304904;Rio de Janeiro;Região Sudeste;São Gonçalo;248,319;896744;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;3;5;;3;;;2;;;;8;8
330490;3,3049E+12;Feminino;Superior Completo;Psicóloga(o);Outro vínculo não permanente;Técnico(a) de nível superior;De 31 a 40 horas semanais;11/04/2022;3304904;Rio de Janeiro;Região Sudeste;São Gonçalo;248,319;896744;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;3;5;;3;;;2;;;;8;8
330490;3,3049E+12;Feminino;Médio Completo;Sem formação profissional;Outro vínculo não permanente;Apoio Administrativo;De 31 a 40 horas semanais;01/09/2022;3304904;Rio de Janeiro;Região Sudeste;São Gonçalo;248,319;896744;Grande;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;3;5;;3;;;2;;;;8;8
330490;3,3049E+12;Feminino;Médio Completo;Sem formação profissional;Outro vínculo não permanente;Educador(a) Social;De 41 a 44 horas semanais;01/03/2022;3304904;Rio de Janeiro;Região Sudeste;São Gonçalo;248,319;896744;Grande;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;3;5;;3;;;2;;;;8;8
330490;3,3049E+12;Feminino;Médio Completo;Profissional de nível médio;Outro vínculo não permanente;Educador(a) Social;De 41 a 44 horas semanais;03/08/2015;3304904;Rio de Janeiro;Região Sudeste;São Gonçalo;248,319;896744;Grande;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;;3;5;;3;;;2;;;;8;8
330520;3,3052E+12;Feminino;Superior Completo;Assistente Social;Comissionada(o);Coordenador(a);De 21 a 30 horas semanais;02/11/2021;3305208;Rio de Janeiro;Região Sudeste;São Pedro da Aldeia;332,922;104029;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Comissionado;;;Nível Superior;;Assistente Social;;;;;;Comissionado;;;;3;;2;;;1;;;1;2;3
330520;3,3052E+12;Feminino;Especialização;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 11 a 20 horas semanais;02/05/2023;3305208;Rio de Janeiro;Região Sudeste;São Pedro da Aldeia;332,922;104029;Grande;completo;Municipal;31.08.2023;31/ago/23;61 a 80 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;2;;;1;;;1;2;3
330520;3,3052E+12;Feminino;Superior Completo;Psicóloga(o);Terceirizada(o);Técnico(a) de nível superior;De 11 a 20 horas semanais;04/09/2022;3305208;Rio de Janeiro;Região Sudeste;São Pedro da Aldeia;332,922;104029;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;3;;2;;;1;;;1;2;3
330630;3,3063E+12;Feminino;Superior Completo;Assistente Social;Sem Vínculo;Técnico(a) de nível superior;De 21 a 30 horas semanais;02/05/2022;3306305;Rio de Janeiro;Região Sudeste;Volta Redonda;182,105;261563;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;1;;;2;1;;;2;3
330630;3,3063E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Coordenador(a);De 21 a 30 horas semanais;05/11/1991;3306305;Rio de Janeiro;Região Sudeste;Volta Redonda;182,105;261563;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;3;;1;;;2;1;;;2;3
330630;3,3063E+12;Feminino;Superior Completo;Psicóloga(o);Outro vínculo não permanente;Técnico(a) de nível superior;De 31 a 40 horas semanais;03/01/2022;3306305;Rio de Janeiro;Região Sudeste;Volta Redonda;182,105;261563;Grande;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;3;;1;;;2;1;;;2;3
350120;3,5012E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/10/2022;3501202;São Paulo;Região Sudeste;Álvares Florence;362,411;3915;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;3;;1;;;1;2;;;1;3
350120;3,5012E+12;Feminino;Superior Completo;Outra formação de nível superior;Empregada(o) Privada(o) (CLT);Coordenador(a);De 31 a 40 horas semanais;07/07/2021;3501202;São Paulo;Região Sudeste;Álvares Florence;362,411;3915;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;;;3;;1;;;1;2;;;1;3
350120;3,5012E+12;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;21/11/2022;3501202;São Paulo;Região Sudeste;Álvares Florence;362,411;3915;Pequeno I;completo;Municipal;31.08.2023;31/ago/23;16 a 29 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;;;3;;1;;;1;2;;;1;3
350130;3,5013E+12;Feminino;Especialização;Assistente Social;Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;12/06/2019;3501301;São Paulo;Região Sudeste;Álvares Machado;347,647;27255;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;3;;2;;1;;3;;;;3
350130;3,5013E+12;Feminino;Superior Completo;Advogada(o);Servidor(a) Estatutária(o);Técnico(a) de nível superior;De 11 a 20 horas semanais;12/06/2019;3501301;São Paulo;Região Sudeste;Álvares Machado;347,647;27255;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;Advogado;;Servidor Estatutário;;;;;;3;;2;;1;;3;;;;3
350130;3,5013E+12;Feminino;Superior Completo;Assistente Social;Servidor(a) Estatutária(o);Coordenador(a);De 31 a 40 horas semanais;12/06/2019;3501301;São Paulo;Região Sudeste;Álvares Machado;347,647;27255;Pequeno II;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Servidor Estatutário;;;Nível Superior;;Assistente Social;;;;Servidor Estatutário;;;;;;3;;2;;1;;3;;;;3
350160;3,5016E+12;Feminino;Superior Completo;Psicóloga(o);Empregada(o) Privada(o) (CLT);Coordenador(a);De 31 a 40 horas semanais;01/06/2022;3501608;São Paulo;Região Sudeste;Americana;133,912;237240;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;3;;1;;;2;;;;3;3
350160;3,5016E+12;Feminino;Superior Completo;Assistente Social;Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 21 a 30 horas semanais;11/09/2019;3501608;São Paulo;Região Sudeste;Americana;133,912;237240;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;1;;;2;;;;3;3
350160;3,5016E+12;Feminino;Especialização;Psicóloga(o);Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 21 a 30 horas semanais;16/01/2020;3501608;São Paulo;Região Sudeste;Americana;133,912;237240;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;3;;1;;;2;;;;3;3
350410;3,5041E+12;Masculino;Especialização;Psicóloga(o);Empregada(o) Privada(o) (CLT);Coordenador(a);De 11 a 20 horas semanais;03/11/2021;3504107;São Paulo;Região Sudeste;Atibaia;478,521;158647;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;3;;1;;;2;;;;3;3
350410;3,5041E+12;Feminino;Superior Completo;Assistente Social;Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 11 a 20 horas semanais;02/01/2022;3504107;São Paulo;Região Sudeste;Atibaia;478,521;158647;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;;;3;;1;;;2;;;;3;3
350410;3,5041E+12;Feminino;Superior Completo;Psicóloga(o);Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 11 a 20 horas semanais;01/11/2022;3504107;São Paulo;Região Sudeste;Atibaia;478,521;158647;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;;;3;;1;;;2;;;;3;3
350600;3,506E+12;Feminino;Médio Completo;Profissional de nível médio;Empregada(o) Privada(o) (CLT);Cuidador(a);De 31 a 40 horas semanais;09/03/2020;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Superior Completo;Psicóloga(o);Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 21 a 30 horas semanais;02/07/2015;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Superior Completo;Assistente Social;Empregada(o) Privada(o) (CLT);Coordenador(a);De 21 a 30 horas semanais;08/03/2017;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;51 a 60 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Médio Completo;Profissional de nível médio;Empregada(o) Privada(o) (CLT);Cuidador(a);De 31 a 40 horas semanais;08/03/2017;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Fundamental Completo;Sem formação profissional;Empregada(o) Privada(o) (CLT);Serviços Gerais;De 31 a 40 horas semanais;05/01/2023;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Superior Completo;Assistente Social;Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 21 a 30 horas semanais;20/11/2018;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Especialização;Assistente Social;Empregada(o) Privada(o) (CLT);Coordenador(a);De 31 a 40 horas semanais;01/01/2022;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Superior Completo;Assistente Social;Trabalhador(a) de Empresa/Cooperativa/Entidade prestadora de serviços;Técnico(a) de nível superior;De 21 a 30 horas semanais;02/09/2015;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Masculino;Médio Completo;Profissional de nível médio;Trabalhador(a) de Empresa/Cooperativa/Entidade prestadora de serviços;Motorista;De 31 a 40 horas semanais;01/07/2015;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;41 a 50 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Médio Completo;Profissional de nível médio;Empregada(o) Privada(o) (CLT);Apoio Administrativo;De 11 a 20 horas semanais;01/01/2022;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Superior Completo;Assistente Social;Empregada(o) Privada(o) (CLT);Outros;De 21 a 30 horas semanais;01/08/2021;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Masculino;Superior Completo;Psicóloga(o);Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 21 a 30 horas semanais;08/03/2017;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;Psicólogo;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Superior Completo;Outra formação de nível superior;Empregada(o) Privada(o) (CLT);Apoio Administrativo;De 31 a 40 horas semanais;01/02/2017;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Médio Incompleto;Sem formação profissional;Empregada(o) Privada(o) (CLT);Serviços Gerais;De 31 a 40 horas semanais;14/04/2021;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Médio Completo;Profissional de nível médio;Empregada(o) Privada(o) (CLT);Cuidador(a);De 31 a 40 horas semanais;05/03/2019;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Médio;Outros vínculos não permanentes;;Nível Médio;;;;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Feminino;Superior Completo;Assistente Social;Empregada(o) Privada(o) (CLT);Técnico(a) de nível superior;De 21 a 30 horas semanais;20/04/2020;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível Superior;Outros vínculos não permanentes;;;Nível Superior;;Assistente Social;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
350600;3,506E+12;Masculino;Fundamental Completo;Sem formação profissional;Empregada(o) Privada(o) (CLT);Motorista;De 31 a 40 horas semanais;21/11/2022;3506003;São Paulo;Região Sudeste;Bauru;667,684;379146;Grande;completo;Municipal;31.08.2023;31/ago/23;30 a 40 anos;Nível fundamental;Outros vínculos não permanentes;Nível fundamental;;;;;;;;;;;Outros vínculos não permanentes;4;6;10;;6;;;3;;;;20;20
